Target	Assoc	p.onl	n.onl	p.umi	n.umi
çehre	Nebahat	0.058	3	0.019	2
çehre	alın	0	0	0.029	3
çehre	peçe	0	0	0.019	2
çehre	çevre	0	0	0.029	3
çömlek	Kapadokya	0.038	2	0	0
çömlek	kuru fasulye	0	0	0.029	3
çömlek	tuğla	0	0	0.019	2
çömlek	çamlak	0	0	0.019	2
övgü	aferin	0	0	0.019	2
övgü	ego	0	0	0.029	3
övgü	hoşnutluk	0	0	0.019	2
övgü	memnuniyet	0.038	2	0	0
övgü	onur	0	0	0.019	2
övgü	pohpohlama	0	0	0.019	2
övgü	utanç	0	0	0.019	2
özet	anlatım	0	0	0.019	2
özet	kısaltma	0.038	2	0.029	3
özet	kısaltmak	0	0	0.019	2
şiddetli	aşırı	0	0	0.019	2
şiddetli	sağanak	0	0	0.019	2
şiddetli	vahşi	0	0	0.019	2
