Cue	Set	Rank1	Rank2	Rank3	Rank4	Rank5	Rank6
kayıp	2	0.114	0.076	0.076	0.057	0.048	0.048
kayıp	3	0.096	0.077	0.038	0.038	0.038	0.038
kırmızı	1	0.21	0.1	0.07	0.06	0.05	0.04
kırmızı	2	0.133	0.086	0.086	0.067	0.057	0.038
kırmızı	3	0.173	0.096	0.077	0.077	0.058	0.038
külhan	1	0.374	0.232	0.061	0.061	0.04	0.04
külhan	2	0.352	0.276	0.067	0.038	0.029	0.029
külhan	3	0.346	0.154	0.115	0.058	0.038	0.038
kuş	1	0.13	0.13	0.1	0.08	0.06	0.05
kuş	2	0.219	0.152	0.086	0.057	0.038	0.029
kuş	3	0.173	0.135	0.096	0.096	0.077	0.058
lezzet	1	0.4	0.33	0.04	0.03	0.02	0.02
lezzet	2	0.486	0.171	0.029	0.019	0.019	0.019
lezzet	3	0.481	0.135	0.077	0.038	0.019	0.019
medya	1	0.29	0.15	0.07	0.07	0.06	0.04
medya	2	0.305	0.124	0.114	0.048	0.029	0.029
medya	3	0.25	0.115	0.115	0.058	0.058	0.019
meraklı	1	0.11	0.08	0.05	0.05	0.05	0.05
meraklı	2	0.086	0.067	0.057	0.048	0.048	0.038
meraklı	3	0.173	0.058	0.058	0.058	0.058	0.038
metal	1	0.313	0.091	0.081	0.061	0.051	0.03
metal	2	0.219	0.076	0.048	0.038	0.029	0.029
metal	3	0.115	0.077	0.077	0.058	0.058	0.038
mineral	1	0.28	0.13	0.13	0.08	0.06	0.06
mineral	2	0.267	0.219	0.21	0.057	0.029	0.019
mineral	3	0.327	0.231	0.096	0.058	0.038	0.038
müftülük	1	0.38	0.14	0.11	0.05	0.04	0.02
müftülük	2	0.21	0.171	0.048	0.038	0.038	0.029
müftülük	3	0.327	0.058	0.038	0.038	0.038	0.038
nezle	1	0.42	0.11	0.09	0.07	0.07	0.06
nezle	2	0.333	0.124	0.095	0.095	0.076	0.067
nezle	3	0.25	0.173	0.135	0.077	0.058	0.058
oksijen	1	0.36	0.1	0.1	0.08	0.08	0.06
oksijen	2	0.286	0.276	0.048	0.048	0.038	0.038
oksijen	3	0.288	0.096	0.077	0.058	0.058	0.038
övgü	1	0.14	0.12	0.12	0.06	0.04	0.03
övgü	2	0.143	0.067	0.057	0.057	0.029	0.029
övgü	3	0.154	0.115	0.096	0.058	0.038	0.038
özet	1	0.3	0.17	0.1	0.08	0.03	0.03
özet	2	0.295	0.114	0.076	0.038	0.029	0.029
özet	3	0.327	0.192	0.058	0.038	0.038	0.038
özlem	1	0.2	0.14	0.09	0.07	0.05	0.05
özlem	2	0.267	0.086	0.067	0.067	0.057	0.029
özlem	3	0.192	0.135	0.096	0.058	0.038	0.038
papatya	1	0.27	0.11	0.1	0.09	0.08	0.07
papatya	2	0.333	0.067	0.067	0.057	0.057	0.038
papatya	3	0.327	0.096	0.058	0.058	0.038	0.038
para	1	0.1	0.08	0.08	0.07	0.06	0.05
para	2	0.067	0.048	0.048	0.048	0.048	0.048
para	3	0.096	0.096	0.077	0.058	0.038	0.038
parke	1	0.18	0.14	0.09	0.08	0.08	0.07
parke	2	0.21	0.095	0.086	0.076	0.057	0.048
parke	3	0.173	0.115	0.115	0.077	0.077	0.077
paslı	1	0.4	0.11	0.1	0.06	0.05	0.05
paslı	2	0.39	0.143	0.095	0.057	0.048	0.048
paslı	3	0.423	0.135	0.077	0.058	0.038	0.038
pencere	1	0.4	0.14	0.13	0.04	0.04	0.03
pencere	2	0.181	0.133	0.105	0.057	0.048	0.048
pencere	3	0.115	0.115	0.096	0.096	0.058	0.038
peşinatsız	1	0.5	0.07	0.05	0.03	0.03	0.02
peşinatsız	2	0.114	0.114	0.086	0.076	0.067	0.067
peşinatsız	3	0.135	0.115	0.096	0.096	0.038	0.038
pire	1	0.38	0.17	0.08	0.06	0.06	0.03
pire	2	0.267	0.114	0.114	0.076	0.057	0.057
pire	3	0.288	0.154	0.115	0.058	0.058	0.038
pomat	1	0.26	0.21	0.13	0.06	0.05	0.03
pomat	2	0.457	0.114	0.095	0.086	0.029	0.019
pomat	3	0.212	0.115	0.115	0.115	0.096	0.077
radyo	1	0.35	0.15	0.07	0.06	0.06	0.03
radyo	2	0.257	0.124	0.086	0.086	0.067	0.048
radyo	3	0.192	0.192	0.096	0.096	0.058	0.038
sadık	1	0.41	0.13	0.08	0.05	0.04	0.03
sadık	2	0.19	0.133	0.076	0.057	0.048	0.048
sadık	3	0.212	0.115	0.096	0.077	0.058	0.058
sazlık	1	0.13	0.11	0.11	0.09	0.07	0.05
sazlık	2	0.114	0.095	0.095	0.086	0.067	0.029
sazlık	3	0.154	0.135	0.096	0.077	0.077	0.058
semer	1	0.49	0.39	0.02	0.02	0.01	0.01
semer	2	0.343	0.238	0.219	0.048	0.01	0.01
semer	3	0.365	0.212	0.077	0.058	0.038	0.019
serin	1	0.2	0.08	0.06	0.05	0.04	0.04
serin	2	0.343	0.124	0.038	0.029	0.029	0.029
serin	3	0.365	0.096	0.058	0.038	0.038	0.038
şiddetli	1	0.14	0.09	0.06	0.05	0.04	0.04
şiddetli	2	0.086	0.076	0.057	0.048	0.048	0.038
şiddetli	3	0.096	0.077	0.058	0.058	0.038	0.038
sofra	1	0.57	0.05	0.04	0.04	0.04	0.03
sofra	2	0.438	0.124	0.105	0.057	0.057	0.029
sofra	3	0.423	0.115	0.077	0.058	0.038	0.038
soğan	1	0.31	0.19	0.13	0.1	0.07	0.02
soğan	2	0.2	0.19	0.133	0.114	0.057	0.029
soğan	3	0.192	0.173	0.135	0.096	0.058	0.038
solo	1	0.19	0.17	0.12	0.12	0.07	0.05
solo	2	0.171	0.162	0.057	0.057	0.057	0.048
solo	3	0.231	0.173	0.135	0.058	0.038	0.038
standart	1	0.1	0.09	0.06	0.06	0.06	0.06
standart	2	0.114	0.076	0.067	0.048	0.048	0.038
standart	3	0.115	0.096	0.077	0.058	0.058	0.038
suç	1	0.6	0.06	0.04	0.03	0.03	0.03
suç	2	0.543	0.095	0.029	0.029	0.019	0.019
suç	3	0.5	0.058	0.038	0.038	0.038	0.019
süresiz	1	0.43	0.11	0.05	0.05	0.04	0.03
süresiz	2	0.21	0.143	0.086	0.076	0.057	0.038
süresiz	3	0.192	0.173	0.115	0.058	0.038	0.038
tabanca	1	0.23	0.21	0.16	0.13	0.03	0.03
tabanca	2	0.2	0.152	0.114	0.095	0.048	0.029
tabanca	3	0.192	0.135	0.096	0.058	0.038	0.038
takoz	1	0.32	0.1	0.09	0.08	0.07	0.05
takoz	2	0.143	0.133	0.105	0.076	0.048	0.029
takoz	3	0.173	0.115	0.096	0.077	0.038	0.019
tane	1	0.3	0.11	0.1	0.07	0.06	0.05
tane	2	0.21	0.152	0.114	0.086	0.057	0.038
tane	3	0.154	0.154	0.135	0.115	0.096	0.019
tanıtım	1	0.29	0.13	0.06	0.05	0.05	0.05
tanıtım	2	0.324	0.067	0.038	0.029	0.029	0.019
tanıtım	3	0.442	0.077	0.058	0.038	0.038	0.038
televizyon	1	0.19	0.15	0.07	0.06	0.05	0.05
televizyon	2	0.267	0.067	0.057	0.057	0.048	0.048
televizyon	3	0.288	0.077	0.058	0.038	0.038	0.038
toz	1	0.16	0.1	0.07	0.07	0.07	0.06
toz	2	0.133	0.124	0.057	0.057	0.057	0.048
toz	3	0.135	0.077	0.077	0.058	0.058	0.058
uçak	1	0.12	0.1	0.08	0.08	0.07	0.04
uçak	2	0.105	0.086	0.076	0.067	0.067	0.048
uçak	3	0.135	0.096	0.096	0.096	0.058	0.038
vali	1	0.27	0.27	0.07	0.05	0.03	0.03
vali	2	0.086	0.076	0.067	0.057	0.057	0.048
vali	3	0.135	0.077	0.058	0.038	0.038	0.038
vatan	1	0.27	0.16	0.1	0.07	0.07	0.04
vatan	2	0.371	0.105	0.067	0.057	0.048	0.038
vatan	3	0.365	0.135	0.077	0.058	0.019	0.019
virüs	1	0.33	0.27	0.1	0.07	0.06	0.02
virüs	2	0.39	0.152	0.105	0.057	0.038	0.029
virüs	3	0.288	0.192	0.115	0.115	0.038	0.019
yama	1	0.25	0.09	0.07	0.06	0.06	0.04
yama	2	0.124	0.095	0.076	0.057	0.048	0.048
yama	3	0.115	0.115	0.058	0.058	0.038	0.038
yarış	1	0.17	0.1	0.08	0.07	0.07	0.06
yarış	2	0.257	0.162	0.076	0.076	0.057	0.048
yarış	3	0.346	0.096	0.077	0.038	0.019	0.019
yatsı	1	0.76	0.06	0.02	0.02	0.02	0.01
yatsı	2	0.514	0.133	0.048	0.029	0.029	0.019
yatsı	3	0.654	0.154	0.038	0.019	0.019	0.019
yeni	1	0.34	0.07	0.05	0.05	0.04	0.04
yeni	2	0.371	0.048	0.048	0.048	0.038	0.038
yeni	3	0.385	0.058	0.058	0.038	0.038	0.038
yoga	1	0.28	0.2	0.1	0.09	0.05	0.04
yoga	2	0.2	0.095	0.095	0.067	0.038	0.038
yoga	3	0.135	0.135	0.096	0.077	0.058	0.038
yüzük	1	0.36	0.24	0.06	0.04	0.04	0.03
yüzük	2	0.362	0.114	0.105	0.048	0.048	0.038
yüzük	3	0.423	0.173	0.154	0.038	0.038	0.038
zaman	1	0.4	0.07	0.06	0.04	0.02	0.02
zaman	2	0.314	0.076	0.067	0.057	0.048	0.048
zaman	3	0.423	0.077	0.058	0.058	0.038	0.038
